finess_et;finess_ej;siret;nom;adresse;code_postal;ville;departement;statut_juridique;prix_chambre_simple_jour;cotation_has;nb_red_flags;alerte_gouvernance;contentieux_judiciaire;source_finess;source_cnsa;source_has;source_alimconfiance;url_fiche_seniorvigil
750720583;750021479;26750004904389;EHPAD RESIDENCE HEROLD;64 R GENERAL BRUNET;75019;PARIS;75;Non renseigné;;B;2;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-herold-75/
130013568;920003944;45206654100023;EHPAD RESIDENCE HIPPOCRATE;2 CHE DE LA CROIX BLANCHE;92290;CHATENAY MALABRY;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-hippocrate-92/
750806606;910701507;77566670400769;EHPAD RESIDENCE HIPPOLYTE PANHARD;1 R DES VERTS DOMAINES;91830;LE COUDRAY MONTCEAUX;91;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-hippolyte-panhard-91/
750721029;930003397;77567626500371;EHPAD RESIDENCE HOVIA;7 PL ALBERT THOMAS;93290;TREMBLAY EN FRANCE;93;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-hovia-93/
940017304;780701793;38324753300052;EHPAD RESIDENCE ISATIS;28 R PAUL DOUMER;78540;VERNOUILLET;78;Non renseigné;;C;2;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-isatis-78/
920043114;920814621;34444305600017;EHPAD RESIDENCE ISIS;2 ALL DES HARAS;92380;GARCHES;92;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-isis-92/
920030186;930015359;81779709500517;EHPAD RESIDENCE JACQUES OFFENBACH;77 AV JEAN JAURES;93800;EPINAY SUR SEINE;93;Non renseigné;92.16;;0;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-jacques-offenbach-93/
750072613;750071375;81884430000025;EHPAD RESIDENCE JEAN-BAPTISTE CARPEAUX;197 R MARCADET;75018;PARIS;75;Non renseigné;;C;2;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-jean-baptiste-carpeaux-75/
940806656;940003882;26940107100114;EHPAD RESIDENCE JOSEPH GUITTARD;21 R DES HAUTS MOGUICHETS;94500;CHAMPIGNY SUR MARNE;94;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-joseph-guittard-94/
920030152;770814044;40125156601616;EHPAD RESIDENCE KLARENE;BD ISAAC PEREIRE;77220;TOURNAN EN BRIE;77;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-klarene-77/
770001154;770015741;39830264600086;EHPAD RESIDENCE L'AUBETINE;25 R DE NOGENT;77560;VILLIERS ST GEORGES;77;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-l-aubetine-77/
750811788;950806331;77567542400052;EHPAD RESIDENCE L'EGLANTIER;7 R DE L EGLANTIER;95500;GONESSE;95;Non renseigné;;C;2;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-l-eglantier-95/
330050899;910701762;;EHPAD RESIDENCE L'ERMITAGE;2 R DANIEL MAYER;91160;LONGJUMEAU;91;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-l-ermitage-91/
920019759;920019098;44758441800035;EHPAD RESIDENCE LA BRUYERE;1 R LA BRUYERE;92500;RUEIL MALMAISON;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-la-bruyere-92/
920030152;780823357;40125156600154;EHPAD RESIDENCE LA CERISAIE;31 RTE D EPERNON;78125;POIGNY LA FORET;78;Non renseigné;120.0;B;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-la-cerisaie-78/
620110650;920025202;77562993400909;EHPAD RESIDENCE LA CHAMADE;2 R DES GRANDS BUISSONS;92000;NANTERRE;92;Non renseigné;;B;1;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-la-chamade-92/
920039914;920811304;45111438300164;EHPAD RESIDENCE LA CHARTRAINE;14 R DE L ESPERANCE;92160;ANTONY;92;Non renseigné;;;1;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-la-chartraine-92/
950007468;950807172;35045074800016;EHPAD RESIDENCE LA CHATAIGNERAIE;1 R DE FRANCONVILLE;95240;CORMEILLES EN PARISIS;95;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-la-chataigneraie-95/
920001286;920710415;26920142200012;EHPAD RESIDENCE LA CHESNAYE;25 RTE FUSILLES DE LA RESISTANCE;92150;SURESNES;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-la-chesnaye-92/
910003078;910811736;52776162100012;EHPAD RESIDENCE LA COLOMBIERE;9 RTE DE BRIE;91800;BRUNOY;91;Non renseigné;109.0;C;2;Non;Non;Oui;Oui;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-la-colombiere-91/
920039773;920460060;34918573600130;EHPAD RESIDENCE LA FAIENCERIE;4 R PAUL COUDERC;92330;SCEAUX;92;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-la-faiencerie-92/
920030152;780006599;40125156600873;EHPAD RESIDENCE LA FONTAINE;1 AV DE L AMIRAL LEMONNIER;78160;MARLY LE ROI;78;Non renseigné;130.0;A;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-la-fontaine-78/
750825846;770015360;77568030901528;EHPAD RESIDENCE LA GARENNE;18 R DE LA GARENNE;77130;LA GRANDE PAROISSE;77;Non renseigné;;A;2;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-la-garenne-77/
330050899;750041436;48008096900540;EHPAD RESIDENCE LA MAISON DES PARENTS;67 R CHATEAU DES RENTIERS;75013;PARIS;75;Non renseigné;;;0;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-la-maison-des-parents-75/
770027779;770813947;82349709400032;EHPAD RESIDENCE LA MARQUISE;21 ALL MADAME DE MONTESPAN;77600;BUSSY ST GEORGES;77;Non renseigné;;A;1;Non;Non;Oui;Non;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-la-marquise-77/
830013678;910016377;31121005800096;EHPAD RESIDENCE LA MARTINIERE;CHE DE LA MARTINIERE;91400;SACLAY;91;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-la-martiniere-91/
770000982;770811545;78492339300010;EHPAD RESIDENCE LA MELOD'HIER;3 R ETIENNE TETROT;77170;COUBERT;77;Non renseigné;;;0;Non;Non;Oui;Non;Non;Non;https://seniorvigil.com/ehpad/ehpad-residence-la-melod-hier-77/
920039914;750828758;;EHPAD RESIDENCE LA PIRANDELLE;6 R PIRANDELLO;75013;PARIS;75;Non renseigné;105.0;;1;Non;Non;Oui;Oui;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-la-pirandelle-75/
920001930;920803301;42190750200015;EHPAD RESIDENCE LA TOUR D AUVERGNE;2 AV DE LA TOUR D AUVERGNE;92700;COLOMBES;92;Non renseigné;;;1;Non;Non;Oui;Non;Non;Oui;https://seniorvigil.com/ehpad/ehpad-residence-la-tour-d-auvergne-92/
920026473;920026481;51393458800031;EHPAD RESIDENCE LA TOURNELLE;18 R DE VERDUN 1916;92250;LA GARENNE COLOMBES;92;Non renseigné;;A;0;Non;Non;Oui;Non;Oui;Non;https://seniorvigil.com/ehpad/ehpad-residence-la-tournelle-92/
920032885;780018560;40125156602721;EHPAD RESIDENCE LA VILLA DES AINES;28 AV DE LA REPUBLIQUE;78270;BONNIERES SUR SEINE;78;Non renseigné;105.0;A;1;Non;Non;Oui;Oui;Oui;Oui;https://seniorvigil.com/ehpad/ehpad-residence-la-villa-des-aines-78/
